"","Position","Player","Tour_Match","Team","Metres_Gained","Carries","Passes","Tackles","Missed_Tackles","Turnovers_Won","Turnovers_Conceded","Defenders_Beaten","Try_Assists","Offloads","Clean_Breaks","Lineouts_Won","Lineouts_Stolen","Match_Data_File"
"1",15,"Stuart Hogg","M1","BIL",50,12,8,2,NA,NA,2,4,NA,3,2,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"2",14,"Anthony Watson","M1","BIL",30,7,NA,8,2,NA,1,4,NA,NA,2,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"3",13,"Jonathan Joseph","M1","BIL",16,8,5,5,3,NA,2,1,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"4",12,"Ben Te'o","M1","BIL",84,13,5,7,NA,1,1,5,NA,4,5,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"5",11,"Tommy Seymour","M1","BIL",55,8,1,7,NA,1,NA,2,NA,NA,1,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"6",10,"Jonathan Sexton","M1","BIL",16,7,19,8,NA,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"7",9,"Greig Laidlaw","M1","BIL",13,6,77,5,1,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"8",1,"Joe Marler","M1","BIL",3,3,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"9",2,"Rory Best","M1","BIL",NA,7,4,11,NA,3,1,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"10",3,"Kyle Sinckler","M1","BIL",13,6,5,4,NA,NA,NA,NA,NA,NA,1,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"11",4,"Alun Wyn Jones","M1","BIL",5,10,3,10,1,NA,2,NA,NA,2,NA,2,1,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"12",5,"Iain Henderson","M1","BIL",14,8,2,7,2,2,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"13",6,"Ross Moriarty","M1","BIL",39,12,7,11,1,1,1,2,NA,NA,1,1,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"14",7,"Sam Warburton","M1","BIL",9,6,2,11,NA,NA,NA,NA,NA,NA,NA,1,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"15",8,"Taulupe Faletau","M1","BIL",46,10,2,14,NA,NA,NA,3,NA,1,2,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"16",16,"Jamie George","M1","BIL",NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"17",17,"Mako Vunipola","M1","BIL",NA,4,NA,8,1,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"18",18,"Tadhg Furlong","M1","BIL",NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"19",19,"George Kruis","M1","BIL",NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,1,1,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"20",20,"Justin Tipuric","M1","BIL",4,1,1,5,NA,NA,1,NA,NA,1,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"21",21,"Rhys Webb","M1","BIL",16,2,4,4,NA,NA,1,NA,NA,NA,1,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"22",22,"Owen Farrell","M1","BIL",7,2,6,3,NA,NA,NA,NA,1,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"23",23,"Elliot Daly","M1","BIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"24",15,"Luteru Laulala","M1","NZ Provincial Barbarians",136,14,8,3,2,NA,2,5,NA,3,2,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"25",14,"Sam Vaka","M1","NZ Provincial Barbarians",56,8,3,5,NA,1,2,1,NA,1,2,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"26",13,"Kaveinga Finau ","M1","NZ Provincial Barbarians",20,3,1,5,NA,NA,NA,NA,NA,NA,1,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"27",12,"Dwayne Sweeney","M1","NZ Provincial Barbarians",14,7,2,6,2,NA,NA,NA,NA,NA,1,1,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"28",11,"Sevu Reece","M1","NZ Provincial Barbarians",35,8,4,5,2,NA,NA,2,NA,2,1,1,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"29",10,"Bryn Gatland ","M1","NZ Provincial Barbarians",5,6,20,11,3,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"30",9,"Jack Stratton ","M1","NZ Provincial Barbarians",NA,NA,60,4,1,1,1,NA,1,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"31",1,"Aidan Ross ","M1","NZ Provincial Barbarians",15,4,3,8,1,NA,NA,NA,NA,1,NA,1,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"32",2,"Sam Anderson-Heather ","M1","NZ Provincial Barbarians",9,6,NA,6,1,NA,2,2,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"33",3,"Oli Jager ","M1","NZ Provincial Barbarians",2,5,NA,6,2,1,2,1,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"34",4,"Joshua Goodhue","M1","NZ Provincial Barbarians",NA,5,6,13,NA,2,1,NA,NA,NA,NA,3,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"35",5,"Keepa Mewett ","M1","NZ Provincial Barbarians",6,9,2,8,1,NA,2,NA,NA,NA,NA,3,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"36",6,"James Tucker ","M1","NZ Provincial Barbarians",NA,8,4,13,2,NA,1,NA,NA,NA,NA,1,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"37",7,"Lachlan Boshier ","M1","NZ Provincial Barbarians",3,6,1,10,NA,NA,2,1,NA,NA,1,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"38",8,"Mitchell Dunshea","M1","NZ Provincial Barbarians",9,7,3,15,4,NA,NA,NA,NA,1,NA,5,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"39",16,"Andrew Makalio ","M1","NZ Provincial Barbarians",15,5,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"40",17,"Tolu Fahamokioa ","M1","NZ Provincial Barbarians",4,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"41",18,"Marcel Renata ","M1","NZ Provincial Barbarians",1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"42",19,"Matt Matich ","M1","NZ Provincial Barbarians",23,8,1,3,NA,NA,1,NA,NA,NA,NA,1,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"43",20,"Peter Rowe ","M1","NZ Provincial Barbarians",1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"44",21,"Richard Judd ","M1","NZ Provincial Barbarians",8,3,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"45",22,"Jonah Lowe ","M1","NZ Provincial Barbarians",19,6,2,2,NA,NA,NA,1,NA,1,1,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"46",23,"Joe Webber ","M1","NZ Provincial Barbarians",9,3,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"data/html/M1-British & Irish Lions _ NZ Provincial Barbarians v British & Irish Lions.html"
"47",15,"Leigh Halfpenny","M2","BIL",52,10,6,NA,1,NA,NA,2,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"48",14,"Jack Nowell","M2","BIL",52,10,4,8,2,1,2,1,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"49",13,"Jared Payne","M2","BIL",7,3,2,9,NA,NA,3,NA,NA,NA,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"50",12,"Robbie Henshaw","M2","BIL",23,12,8,5,NA,NA,NA,1,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"51",11,"Elliot Daly","M2","BIL",25,8,4,4,1,NA,1,2,NA,NA,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"52",10,"Dan Biggar","M2","BIL",17,3,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"53",9,"Rhys Webb","M2","BIL",11,5,67,6,2,NA,1,1,NA,2,NA,1,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"54",1,"Jack McGrath","M2","BIL",1,2,1,13,NA,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"55",2,"Ken Owens","M2","BIL",9,7,2,8,NA,NA,NA,NA,NA,NA,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"56",3,"Dan Cole","M2","BIL",2,2,NA,7,2,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"57",4,"Maro Itoje","M2","BIL",11,11,4,10,3,NA,NA,1,NA,NA,NA,5,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"58",5,"Courtney Lawes","M2","BIL",9,8,4,14,2,1,NA,1,NA,NA,NA,4,1,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"59",6,"James Haskell","M2","BIL",22,7,1,9,2,NA,NA,1,NA,1,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"60",7,"Justin Tipuric","M2","BIL",25,8,4,10,NA,1,NA,1,NA,1,NA,1,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"61",8,"CJ Stander","M2","BIL",36,19,4,13,NA,NA,1,1,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"62",16,"Rory Best","M2","BIL",NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"63",17,"Joe Marler","M2","BIL",3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"64",18,"Kyle Sinckler","M2","BIL",5,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"65",19,"Iain Henderson","M2","BIL",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"66",20,"Peter O'Mahony","M2","BIL",NA,2,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"67",21,"Greig Laidlaw","M2","BIL",2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
